rank,wallet,total_volume_usd,trade_count,unique_tokens
60,JCD21JG4qQJg4oC8mXJ9mJWMF2R7PYA81vZ6CPVaX96H,45011.69,647,94
61,59EEFfq3thxqvMH1mH2538hoGXQAi8fPEc6mYkdugs2s,44788.27,648,94
62,AS25HYWuQ5c8wgD8VTpjt5oi5vYErm1R46XGr3a2i535,44633.93,277,80
63,2WN4rnEmB9c9ouC7VTb4CBXbyiY7qTMcvWUxKKQ2D47T,43802.96,125,38
64,Dhuzqwex47BpRpxtAiTSnbe7HpoShmxpTcQxbjG6DfGG,42481.11,390,91
65,3rcUJ1ydrfXYDZWTu3GfVRRg3WE34CwFywRkeU6qZGyg,42045.28,248,72
66,4idPDNg7qzUqWgrkVvaM9StXaQCcMTes1XSPYGH5qtu6,41555.71,336,56
67,9Huizoqi35PVAe3EqeUQ7YabPUgM1NANcFbWvHhm9isK,41498.95,336,56
68,gakedj1i1ViGwYPdkVLWEqCi36opn75WrK5gfGDEVRb,41397.79,158,55
69,HUgpmqL6r4Z4iEZiVuNZ6J6QnAsSZpsL8giVyVtz3QhT,41301.43,163,86
70,Dwo2kj88YYhwcFJiybTjXezR9a6QjkMASz5xXD7kujXC,40919.89,263,119
71,9LxMdvs1m8QRFvFuhvzzMXykAkpaHTJhktULdpBztUMm,40912.24,102,24
72,BKcCjjQayhnhxq65FcYFNHGNke71Zu24wHmXQw2WeVda,40642.51,335,56
73,5umREYYVovnG9Lt1UnsMsx4Y1vtCSmYVejykTZkMXDP3,40370.98,713,132
74,AXgzGEvbgaFeb1xhdXkQc5D5CehZUa89ci2F9ugQPLaA,40327.44,303,43
75,Hia4mqRUKbzF3RJ5UE7D9PcjgDfSVU1VuqZAYPNDZf5F,40150.50,758,142
76,C6RY5sbvmTFBZXYe6YLrpGjUAFSQwyRmKawLZk9ucrSS,40039.80,263,33
77,52NUhyYcpwwycY2To1bLMtp6pjDjtUMFeUqQxZfBJgAt,39949.95,204,91
78,BTZJRdccNMrF1tdwjSk9K369udDJpk8mxrZNP2U7vAxY,39949.65,101,12
79,4EtLiUNMdd4xZD8tbYGHotmbziWbP7gweGqbmTKP3Jq8,39750.36,387,91
80,iGPHq4ncFSpWykgFET7th9H9VCH95M7jkXEqE7ixJuf,39748.22,82,13
81,Cr7yMx53whgosDRJf7WRZVW89jCrYWzDf8GfxdLVAuPh,39740.39,201,70
82,42Ra7RyKSoMULjPfP5vjyVDnxhKishVtGVZaSaxLFpqv,39342.60,387,91
83,BxFKKVdCBNh8GZMrRGmZ5KNDUpEeK4PC7EtsQHdczKRp,39194.82,274,45
84,7b2w5hYfHfWQmN9gu9yuyoKnm2fW5kZTSnuCXYfccuUt,39158.98,732,135
85,87h4ay5wKYHmFm9wyDe2osigEDyBXq3P7u4nQqBSLLLb,39157.31,746,133
86,HEnrUccrfgtexTC3PQZ2xoRC1VZycqnVTvDKUeVtkbN7,39103.84,234,78
87,47jfhw5puHdFjkmWoGahkuLgVSqYBzmdGPzDaMu47d6k,39051.17,57,4
88,6h9pmWF7bLTT4Ny4sUXFZTXVWXyc7j2NFTt53SJjWjKa,38970.63,211,15
89,BQVz7fQ1WsQmSTMY3umdPEPPTm1sdcBcX9sP7o6kPRmB,38962.11,297,65
90,96CabNLXnGZm9XxF8d3CiWu7FD46kTPWp9wHooiJrGDQ,38893.45,234,78
